date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:31	98234/98234	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2019:31:10%20GMT	https://nfengcom.wordpress.com/2023/01/29/brilliant/	F:/site_download/wp_site/nfengcom.wordpress.com/2023/01/29/brilliant/index.html	(from https://nfengcom.wordpress.com/)
15:28:31	157706/157706	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Apr%202023%2022:20:09%20GMT	https://nfengcom.files.wordpress.com/2023/04/sfea.png?w=1024	F:/site_download/wp_site/nfengcom.files.wordpress.com/2023/04/sfea2dff.png	(from https://nfengcom.wordpress.com/)
15:28:31	868/868	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ffc31a9-465%22	https://s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1610363240h	F:/site_download/wp_site/s1.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohodc5c.js	(from https://nfengcom.wordpress.com/)
15:28:31	69121/69121	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Apr%202023%2019:31:11%20GMT	https://nfengcom.wordpress.com/GET	F:/site_download/wp_site/nfengcom.wordpress.com/GET	(from https://nfengcom.wordpress.com/)
15:28:31	8203/8203	---M--	200	added ('OK')	image/png	etag:%225bfee30d-200b%22	https://s2.wp.com/i/logo/wpcom-gray-white.png	F:/site_download/wp_site/s2.wp.com/i/logo/wpcom-gray-white.png	(from https://nfengcom.wordpress.com/)
15:28:31	42229/42229	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263218631-a4f5%22	https://s0.wp.com/_static/??/wp-content/js/textarea-autosize.min.js,/wp-content/mu-plugins/highlander-comments/script.js?m=1663141412j	F:/site_download/wp_site/s0.wp.com/_static/indexb71d.html	(from https://nfengcom.wordpress.com/)
15:28:31	15458/15458	---MCZ	200	added ('OK')	text/css	etag:W/%2261439ab3-4620%22	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css?v=20210915	F:/site_download/wp_site/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar2866.css	(from https://nfengcom.wordpress.com/)
15:28:32	10828/10828	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262f6b691-346d%22	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js?v=20220329	F:/site_download/wp_site/s0.wp.com/wp-content/mu-plugins/actionbar/actionbarb516.js	(from https://nfengcom.wordpress.com/)
15:28:32	727/727	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2030%20Apr%202023%2019:31:12%20GMT	https://nfengcom.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	F:/site_download/wp_site/nfengcom.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	(from https://nfengcom.wordpress.com/)
15:28:32	10813/10813	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261dc645f-2a3d%22	http://stats.wp.com/w.js?63	F:/site_download/wp_site/stats.wp.com/w03af.js	(from https://nfengcom.wordpress.com/)
15:28:33	43/43	---M--	200	added ('OK')	image/gif	date:Sun,%2030%20Apr%202023%2019:31:13%20GMT	https://pixel.wp.com/b.gif?v=noscript	F:/site_download/wp_site/pixel.wp.com/b0b80.gif	(from https://nfengcom.wordpress.com/)
15:28:33	344/344	---MCZ	200	added ('OK')	text/plain	date:Sun,%2030%20Apr%202023%2019:31:14%20GMT	https://s1.wp.com/robots.txt		(from https://nfengcom.wordpress.com/)
15:28:34	344/344	---MCZ	200	added ('OK')	text/plain	date:Sun,%2030%20Apr%202023%2019:31:14%20GMT	https://s2.wp.com/robots.txt		(from https://nfengcom.wordpress.com/)
15:28:34	1232/1232	---M--	200	added ('OK')	image/gif	etag:%2262f6b692-4d0%22	https://s0.wp.com/wp-content/mu-plugins/highlander-comments/images/button-back.gif	F:/site_download/wp_site/s0.wp.com/wp-content/mu-plugins/highlander-comments/images/button-back.gif	(from https://s0.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1663315160h&cssminify=yes)
15:28:34	1232/1232	---M--	200	added ('OK')	image/gif	etag:%225c066ea7-4d0%22	https://s0.wp.com/wp-content/mu-plugins/highlander-comments/images/button-back-over.gif	F:/site_download/wp_site/s0.wp.com/wp-content/mu-plugins/highlander-comments/images/button-back-over.gif	(from https://s0.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1663315160h&cssminify=yes)
15:28:35	10819/10819	---M--	200	added ('OK')	image/gif	etag:%2262f6b692-2a43%22	https://s0.wp.com/wp-content/mu-plugins/highlander-comments/images/loader.gif	F:/site_download/wp_site/s0.wp.com/wp-content/mu-plugins/highlander-comments/images/loader.gif	(from https://s0.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1663315160h&cssminify=yes)
15:28:35	69159/69159	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Apr%202023%2019:31:15%20GMT	https://nfengcom.wordpress.com/2023/01/29/you-are-on-the-right-track/GET	F:/site_download/wp_site/nfengcom.wordpress.com/2023/01/29/you-are-on-the-right-track/GET	(from https://nfengcom.wordpress.com/2023/01/29/you-are-on-the-right-track/)
15:28:36	926/926	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%220875227790ff09cb658e3fbc5376d85b%22	https://nfengcom.wordpress.com/2023/01/29/you-are-on-the-right-track/feed/	F:/site_download/wp_site/nfengcom.wordpress.com/2023/01/29/you-are-on-the-right-track/feed/index.html	(from https://nfengcom.wordpress.com/2023/01/29/you-are-on-the-right-track/)
15:28:36	102239/102239	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Apr%202023%2019:31:16%20GMT	https://nfengcom.wordpress.com/category/uncategorized/	F:/site_download/wp_site/nfengcom.wordpress.com/category/uncategorized/index.html	(from https://nfengcom.wordpress.com/2023/01/29/you-are-on-the-right-track/)
15:28:36	69148/69148	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Apr%202023%2019:31:16%20GMT	https://nfengcom.wordpress.com/2023/01/29/sweet-success-2/GET	F:/site_download/wp_site/nfengcom.wordpress.com/2023/01/29/sweet-success-2/GET	(from https://nfengcom.wordpress.com/2023/01/29/sweet-success-2/)
15:28:37	908/908	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b0dedc8967960eedaf766ba949d5851a%22	https://nfengcom.wordpress.com/2023/01/29/sweet-success-2/feed/	F:/site_download/wp_site/nfengcom.wordpress.com/2023/01/29/sweet-success-2/feed/index.html	(from https://nfengcom.wordpress.com/2023/01/29/sweet-success-2/)
15:28:37	891/891	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b0dedc8967960eedaf766ba949d5851a%22	https://nfengcom.wordpress.com/2023/01/29/brilliant/feed/	F:/site_download/wp_site/nfengcom.wordpress.com/2023/01/29/brilliant/feed/index.html	(from https://nfengcom.wordpress.com/2023/01/29/brilliant/)
15:28:37	69142/69142	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Apr%202023%2019:31:17%20GMT	https://nfengcom.wordpress.com/2023/01/29/brilliant/GET	F:/site_download/wp_site/nfengcom.wordpress.com/2023/01/29/brilliant/GET.1b.delayed	(from https://nfengcom.wordpress.com/2023/01/29/brilliant/)
15:28:38	344/344	---MCZ	200	added ('OK')	text/plain	date:Sun,%2030%20Apr%202023%2019:31:18%20GMT	https://s0.wp.com/robots.txt		(from https://nfengcom.wordpress.com/)
15:28:38	19872/19872	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2211290182705708163c447720cd35bf62%22	https://nfengcom.wordpress.com/category/uncategorized/feed/	F:/site_download/wp_site/nfengcom.wordpress.com/category/uncategorized/feed/index.html	(from https://nfengcom.wordpress.com/category/uncategorized/)
15:28:38	69144/69144	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Apr%202023%2019:31:18%20GMT	https://nfengcom.wordpress.com/category/uncategorized/GET	F:/site_download/wp_site/nfengcom.wordpress.com/category/uncategorized/GET.1c.delayed	(from https://nfengcom.wordpress.com/category/uncategorized/)
